<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.06	19:45:00	2635.083	2635.517	2633.869	2634.373	1224	0	160
2025.01.06	20:00:00	2634.410	2634.951	2633.132	2634.056	1326	0	159
2025.01.06	20:15:00	2634.014	2635.484	2633.538	2634.120	1225	0	160
2025.01.06	20:30:00	2634.105	2634.533	2633.248	2634.486	1083	0	160
2025.01.06	20:45:00	2634.522	2634.865	2633.800	2634.664	1136	0	160
2025.01.06	21:00:00	2634.617	2636.438	2634.617	2636.265	740	0	159
2025.01.06	21:15:00	2636.232	2637.067	2636.054	2636.778	605	0	160
2025.01.06	21:30:00	2636.769	2636.976	2635.939	2636.072	521	0	160
2025.01.06	21:45:00	2636.075	2636.336	2635.650	2635.748	413	0	160
2025.01.06	23:00:00	2635.919	2636.270	2635.619	2635.687	380	0	160
2025.01.06	23:15:00	2635.675	2635.675	2634.865	2634.865	527	0	159
2025.01.06	23:30:00	2634.913	2634.948	2634.052	2634.212	527	0	160
2025.01.06	23:45:00	2634.211	2635.188	2633.497	2634.681	718	0	159
2025.01.07	00:00:00	2634.634	2635.185	2634.002	2634.348	624	0	160
2025.01.07	00:15:00	2634.350	2634.544	2632.918	2633.007	705	0	160
2025.01.07	00:30:00	2633.039	2633.986	2632.936	2633.267	769	0	159
2025.01.07	00:45:00	2633.215	2635.122	2633.028	2635.075	969	0	160
2025.01.07	01:00:00	2635.034	2637.995	2634.755	2637.275	2198	0	159
2025.01.07	01:15:00	2637.307	2639.143	2635.780	2637.495	2000	0	159
2025.01.07	01:30:00	2637.455	2639.408	2636.330	2638.722	1856	0	159
2025.01.07	01:45:00	2638.685	2641.146	2638.229	2639.017	1626	0	159
2025.01.07	02:00:00	2639.022	2640.058	2637.738	2638.118	1336	0	160
2025.01.07	02:15:00	2638.042	2638.823	2636.941	2638.098	1008	0	159
2025.01.07	02:30:00	2638.132	2638.414	2636.960	2637.779	1279	0	160
2025.01.07	02:45:00	2637.785	2639.797	2637.300	2638.610	1388	0	160
2025.01.07	03:00:00	2638.637	2638.882	2637.569	2638.711	1171	0	159
2025.01.07	03:15:00	2638.718	2639.514	2638.420	2638.703	808	0	159
2025.01.07	03:30:00	2638.715	2640.202	2638.644	2639.279	956	0	160
2025.01.07	03:45:00	2639.271	2639.595	2638.392	2639.563	669	0	159
2025.01.07	04:00:00	2639.560	2639.738	2638.420	2638.836	716	0	160
2025.01.07	04:15:00	2638.864	2639.511	2637.311	2637.964	968	0	159
2025.01.07	04:30:00	2638.007	2638.718	2637.806	2638.055	732	0	160
2025.01.07	04:45:00	2638.070	2639.694	2637.930	2638.266	936	0	160
2025.01.07	05:00:00	2638.280	2639.478	2637.020	2639.225	860	0	159
2025.01.07	05:15:00	2639.225	2644.297	2639.100	2643.234	1519	0	160
2025.01.07	05:30:00	2643.234	2645.708	2642.788	2644.319	1901	0	159
2025.01.07	05:45:00	2644.357	2645.195	2643.851	2644.439	1490	0	160
2025.01.07	06:00:00	2644.401	2646.757	2644.068	2645.305	1498	0	159
2025.01.07	06:15:00	2645.318	2645.850	2643.308	2645.426	1449	0	160
2025.01.07	06:30:00	2645.436	2645.927	2642.685	2643.666	1482	0	159
